address	xcoord	ycoord	shopid
Wiedner Gürtel 4, 1070 Wien, Austria	16.339033	48.1974	17592186046513
Wiegelestraße 24, 1230 Wien, Austria	16.299458	48.155186	17592186046498
Hafengasse 10, 1030 Wien, Austria	16.394737	48.1929	17592186046483
U-Bahn Station Schweglerstraße S, 1150 Wien, Austria	16.32811	48.19764	17592186046510
Tivoligasse 77, 1120 Wien, Austria	16.317814	48.17988	17592186046477
Erdbergstraße 182, 1030 Wien, Austria	16.409533	48.193356	17592186046480
Klg Spallart Gr., 1140 Wien, Austria	16.296257	48.19956	17592186046513
Kleingartenverein Freudenau, 1020 Wien, Austria	16.433249	48.19079	17592186046480
Wollzeile 9-11, 1010 Wien, Austria	16.375046	48.20888	17592186046504
Dvorakgasse 14, 1130 Wien, Austria	16.279324	48.166317	17592186046474
Rückaufgasse 19, 1190 Wien, Austria	16.329863	48.239456	17592186046516
Klg Altes Landgut Parz., 1100 Wien, Austria	16.380217	48.158585	17592186046489
Lienfeldergasse 85, 1160 Wien, Austria	16.316874	48.220963	17592186046510
Häusslergasse, 1220 Wien, Austria	16.439653	48.240154	17592186046489
Arbeiterstrandbadstraße 128, 1220 Wien, Austria	16.42193	48.237957	17592186046486
Geblergasse 90, 1170 Wien, Austria	16.326447	48.216743	17592186046483
Georg-Danzer-Steg, 1210 Wien, Austria	16.390247	48.244953	17592186046492
Kaiser-Ebersdorfer-Straße 66-70, 1110 Wien, Austria	16.42887	48.166	17592186046474
Baumeistergasse 5, 1160 Wien, Austria	16.304749	48.22066	17592186046498
Schüttelstraße 5, 1020 Wien, Austria	16.392855	48.213055	17592186046501
Gumpendorfer Str. 53, 1060 Wien, Austria	16.355305	48.19791	17592186046516
Popovweg 1, 1100 Wien, Austria	16.402103	48.155083	17592186046489
Trepetschniggasse 4, 1230 Wien, Austria	16.30513	48.15175	17592186046474
Papagenogasse 1, 1060 Wien, Austria	16.364904	48.200275	17592186046504
Erdbrustgasse 70, 1160 Wien, Austria	16.298195	48.21641	17592186046516
Krottenbachstraße 11, 1190 Wien, Austria	16.344313	48.24045	17592186046495
Jörsgasse 6, 1130 Wien, Austria	16.28939	48.165127	17592186046498
Feldbachgasse, 1100 Wien, Austria	16.412825	48.160397	17592186046492
Rosenhügelstraße 206, 1230 Wien, Austria	16.27835	48.15791	17592186046504
Friedrich-Adler-Weg, 1100 Wien, Austria	16.339235	48.161705	17592186046477
Taubenweg, 1110 Wien, Austria	16.430145	48.17361	17592186046486
Trauttmansdorffgasse 34-36, 1130 Wien, Austria	16.295631	48.184242	17592186046513
Belghofergasse 8-10, 1120 Wien, Austria	16.317457	48.170815	17592186046498
Vorgartenstraße 223A, 1020 Wien, Austria	16.40973	48.21824	17592186046510
Simmeringer Hauptstraße 206, 1110 Wien, Austria	16.430664	48.158684	17592186046480
Lindengasse 53, 1070 Wien, Austria	16.34671	48.199547	17592186046510
Dr.-Adolf-Schärf-Platz 2, 1220 Wien, Austria	16.43524	48.24443	17592186046513
Krottenbachstraße 27, 1190 Wien, Austria	16.34063	48.240253	17592186046492
Riesenradplatz 5, 1020 Wien, Austria	16.39737	48.21734	17592186046498
Zollergasse 14, 1070 Wien, Austria	16.350962	48.200462	17592186046480
Münichreiterstraße 44, 1130 Wien, Austria	16.28602	48.185875	17592186046498
Fasangasse 49A, 1030 Wien, Austria	16.385363	48.189133	17592186046489
Rustenallee, 1130 Wien, Austria	16.311333	48.181854	17592186046474
Lerchenfelder Str. 54, 1080 Wien, Austria	16.347622	48.207	17592186046516
Donauufer Autobahn, 1220 Wien, Austria	16.431902	48.217083	17592186046498
Seemüllergasse 23, 1170 Wien, Austria	16.297064	48.23287	17592186046516
Bäuerlegasse 22, 1200 Wien, Austria	16.374844	48.230076	17592186046513
Rathauspl. 1, 1010 Wien, Austria	16.358274	48.21009	17592186046516
Eselstiege 1, 1170 Wien, Austria	16.288437	48.22268	17592186046507
Starkfriedgasse 11, 1180 Wien, Austria	16.314741	48.241676	17592186046474
Am Stadtpark 3, 1030 Wien, Austria	16.383078	48.20578	17592186046501
Klausenburger Str. 22, 1100 Wien, Austria	16.38099	48.16921	17592186046474
Wolfgang-Schmälzl-Gasse 30, 1020 Wien, Austria	16.398842	48.218384	17592186046498
Treppelweg, 1200 Wien, Austria	16.37638	48.253307	17592186046516
Anschlussstelle St. Marx 45, 1030 Wien, Austria	16.411322	48.186275	17592186046504
Johnstraße 23, 1150 Wien, Austria	16.317184	48.194798	17592186046510
Berggasse 28, 1090 Wien, Austria	16.364754	48.218903	17592186046480
Spiegelgasse 11, 1010 Wien, Austria	16.370275	48.207188	17592186046492
Dietmayrgasse 12, 1200 Wien, Austria	16.36699	48.239555	17592186046501
Kelsenstraße 9, 1030 Wien, Austria	16.393894	48.18619	17592186046474
Haymerlegasse 25, 1160 Wien, Austria	16.327192	48.207848	17592186046495
Gaudenzdorfer Gürtel 1, 1120 Wien, Austria	16.346973	48.180614	17592186046477
Kleingartenverein Altmannsdorfer Friedhof, 1120 Wien, Austria	16.326283	48.162262	17592186046513
Neulinggasse 8, 1030 Wien, Austria	16.392372	48.19873	17592186046474
Pottendorfer Str. 2, 1120 Wien, Austria	16.32976	48.169785	17592186046516
Rötzergasse 62, 1170 Wien, Austria	16.322165	48.222317	17592186046498
Stolberggasse 51A, 1050 Wien, Austria	16.356853	48.184147	17592186046507
