address	xcoord	ycoord
Marc-Aurel-Straße 1, 1010 Wien, Austria	16.372169578912136	48.21132821234131
Europaplatz 1, 1150 Wien, Austria	16.337597647525875	48.196687145048905
Kaiserstraße 34, 1070 Wien, Austria	16.341144674103376	48.19983655283851
Ballhauspl. 1, 1010 Wien, Austria	16.364291842033627	48.208054009812216
Johannesgasse 33S, 1010 Wien, Austria	16.376811400367185	48.20322513015799
Hohlweggasse 30, 1030 Wien, Austria	16.38685665576867	48.19030573884688
Porzellangasse 2, 1090 Wien, Austria	16.363804224516876	48.21936024763544
Arsenal 19-21, 1030 Wien, Austria	16.394073860250035	48.18178350823529
Arsenal 23-25, 1030 Wien, Austria	16.390363249772324	48.18244143870888
Robert-Hamerling-Gasse 26, 1150 Wien, Austria	16.3351753504972	48.19331180518171
